 val,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPod Classic 6 - 160GB,96,76.8,57.6,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 120GB,76.8,57.6,48,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 80GB,67.2,48,38.4,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 5 - 80GB,57.6,43.2,33.6,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 60GB,48,38.4,28.8,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 30GB,38.4,26.88,24,iPod,Classic,1,,30GB,,,5,,,,,
iPod Nano 7 - 16GB,76.8,48,28.8,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 6 - 16GB,67.2,38.4,19.2,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 8GB,57.6,33.6,19.2,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 5 - 16GB,48,28.8,19.2,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 8GB,38.4,28.8,19.2,iPod,Nano,1,,8GB,,,5,,,,,
iPod Touch 5 - 64GB,192,172.8,96,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 32GB,163.2,144,86.4,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 4 - 64GB,158.4,134.4,76.8,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 32GB,115.2,96,67.2,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 16GB,96,76.8,38.4,iPod,Touch,1,,16GB,,,4,,,,,
iPod Touch 4 - 8GB,86.4,67.2,33.6,iPod,Touch,1,,8GB,,,4,,,,,
iPod Touch 3 - 64GB,76.8,57.6,28.8,iPod,Touch,1,,64GB,,,3,,,,,
iPod Touch 3 - 32GB,57.6,48,24,iPod,Touch,1,,32GB,,,3,,,,,
iPod Touch 2 - 8GB,48,33.6,19.2,iPod,Touch,1,,8GB,,,2,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Unlocked 64GB White,432,384,192,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,412.8,364.8,163.2,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,403.2,374.4,172.8,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,374.4,345.6,115.2,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,336,288,144,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,316.8,268.8,96,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Sprint 64GB White,334.4,316.8,132,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,316.8,308,123.2,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,308,290.4,114.4,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,290.4,264,96.8,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,242,211.2,96.8,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,220,202.4,88,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Verizon 64GB White,369.6,352,176,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,352,334.4,167.2,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,325.6,308,132,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,308,281.6,110,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,259.6,242,88,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,242,220,88,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 AT&T 64GB White,396,352,176,iPhone,iPhone 5,1,,64GB, AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,378.4,334.4,149.6,iPhone,iPhone 5,1,,64GB, AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,369.6,343.2,158.4,iPhone,iPhone 5,1,,32GB, AT&T,White,,,,,,
