 val,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPad 2 - 3G AT&T 32GB White,193.6,158.4,79.2,iPad,iPad 2,1,,32GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 32GB Black,193.6,158.4,79.2,iPad,iPad 2,1,,32GB,3G - AT&T,Black,,,,,,
iPad 2 - 3G AT&T 16GB White,167.2,132,70.4,iPad,iPad 2,1,,16GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 16GB Black,167.2,132,70.4,iPad,iPad 2,1,,16GB,3G - AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 2 WiFi Only 64GB White,220,202.4,96.8,iPad,iPad 2,1,,64GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 64GB Black,220,202.4,96.8,iPad,iPad 2,1,,64GB,WiFi Only,Black,,,,,,
iPad 2 WiFi Only 32GB White,193.6,167.2,83.6,iPad,iPad 2,1,,32GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 32GB Black,193.6,167.2,83.6,iPad,iPad 2,1,,32GB,WiFi Only,Black,,,,,,
iPad 2 WiFi Only 16GB White,158.4,132,66,iPad,iPad 2,1,,16GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 16GB Black,158.4,132,66,iPad,iPad 2,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
Galaxy Note II Unlocked 32GB White,352,308,132,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy Note II Unlocked 16GB White,264,220,110,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy Note II Sprint 16GB White,308,264,154,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy Note II T-Mobile 16GB White,308,264,154,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II AT&T 16GB White,308,264,154,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
Galaxy Note II Verizon 16GB White,308,264,154,Galaxy,Note II,1,,16GB,Verizon,White,,,,,,
,,,,,,,,,,,,,,,,
Galaxy Note II Sprint 16GB Gray,308,264,154,Galaxy,Note II,1,,16GB,Sprint,Gray,,,,,,
Galaxy Note II T-Mobile 16GB Gray,308,264,154,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,
Galaxy Note II AT&T 16GB Gray,308,264,154,Galaxy,Note II,1,,16GB,AT&T,Gray,,,,,,
Galaxy Note II Verizon 16GB Gray,308,264,154,Galaxy,Note II,1,,16GB,Verizon,Gray,,,,,,
,,,,,,,,,,,,,,,,
Galaxy - Note Unlocked 32GB White,281.6,220,132,Galaxy,Note,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy - Note Unlocked 16GB White,256,240,88,Galaxy,Note,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy - Note T-Mobile 16GB White,236,208,96.8,Galaxy,Note,1,,16GB,T-Mobile,White,,,,,,
Galaxy - Note AT&T 16GB White,236,208,96.8,Galaxy,Note,1,,16GB,AT&T,White,,,,,,
Galaxy - Note Unlocked 32GB Black,281.6,240,132,Galaxy,Note,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy - Note Unlocked 16GB Black,256,240,88,Galaxy,Note,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy - Note T-Mobile 16GB Black,236,208,96.8,Galaxy,Note,1,,16GB,T-Mobile,Black,,,,,,
Galaxy - Note AT&T 16GB Black,236,208,96.8,Galaxy,Note,1,,16GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
Galaxy S3 Unlocked - 16GB  White,264,220,132,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,264,220,132,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Brown,264,220,132,Galaxy,S III,1,,16GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 16GB  Red,264,220,132,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 16GB White,200,156,66,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Blue,200,156,66,Galaxy,S III,1,,16GB,Sprint,Blue,,,,,,
,,,,,,,,,,,,,,,,
Galaxy S3 T-Mobile - 16GB White,220,176,88,Galaxy,S III,1,,16GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 16GB Blue,220,176,88,Galaxy,S III,1,,16GB,T-Mobile,Blue,,,,,,
Galaxy S3 T-Mobile - 16GB Gray,220,176,88,Galaxy,S III,1,,16GB,T-Mobile,Gray,,,,,,
,,,,,,,,,,,,,,,,
Galaxy S3 AT&T - 16GB White,232,200,88,Galaxy,S III,1,,16GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 16GB Blue,232,200,88,Galaxy,S III,1,,16GB,AT&T,Blue,,,,,,
Galaxy S3 AT&T - 16GB Red,232,200,88,Galaxy,S III,1,,16GB,AT&T,Red,,,,,,
,,,,,,,,,,,,,,,,
Galaxy S3 Verizon - 16GB White,232,200,88,Galaxy,S III,1,,16GB,Verizon,White,,,,,,
Galaxy S3 Verizon - 16GB Blue,232,200,88,Galaxy,S III,1,,16GB,Verizon,Blue,,,,,,
,,,,,,,,,,,,,,,,
Galaxy - S II - Unlocked - 16GB White,132,114.4,70.4,Galaxy,S II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy - S II - Unlocked - 16GB Black,132,114.4,70.4,Galaxy,S II,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy - S II - Sprint - 16GB White,105.6,88,52.8,Galaxy,S II,1,,16GB,Sprint,White,,,,,,
Galaxy - S II - Sprint - 16GB Black,105.6,88,52.8,Galaxy,S II,1,,16GB,Sprint,Black,,,,,,
Galaxy - S II - T-Mobile - 16GB White,149.6,123.2,70.4,Galaxy,S II,1,,16GB,T-Mobile,White,,,,,,
Galaxy - S II - T-Mobile - 16GB Black,149.6,123.2,70.4,Galaxy,S II,1,,16GB,T-Mobile,Black,,,,,,
,,,,,,,,,,,,,,,,
Galaxy - S II AT&T 16GB White,149.6,123.2,70.4,Galaxy,S II,1,,16GB,AT&T,White,,,,,,
Galaxy - S II AT&T 16GB Black,149.6,123.2,70.4,Galaxy,S II,1,,16GB,AT&T,Black,,,,,,
